source_concept_id,source_title,target_concept_id,target_title,relationship,chapter_id,description
BIO-C08-01,Mitochondria and ATP Synthesis,BIO-C14-01,EMP Pathway Reactions and ATP Yield,PREREQUISITE_OF,c14,Glycolytic end product pyruvate enters mitochondria for complete aerobic oxidation
BIO-C08-01,Mitochondria and ATP Synthesis,BIO-C13-01,Non-cyclic Photophosphorylation,CONTRASTS_WITH,c13,Mitochondrial oxidative phosphorylation contrasts with chloroplast photophosphorylation
BIO-C08-02,Golgi Apparatus and Protein Trafficking,BIO-C08-01,Mitochondria and ATP Synthesis,RELATED_TO,c8,Endomembrane system organelles collaborate in cell bioenergetics
BIO-C10-01,Crossing Over in Pachytene,BIO-C26-01,Mendel Laws of Inheritance and Segregation,PREREQUISITE_OF,c26,Physical basis of independent assortment and recombination during meiosis
BIO-C13-01,Non-cyclic Photophosphorylation,BIO-C13-02,Calvin Cycle (C3 Pathway),REQUIRED_FOR,c13,ATP and NADPH from light reaction are strictly required for CO2 reduction in stroma
BIO-C13-02,Calvin Cycle (C3 Pathway),BIO-C13-03,Kranz Anatomy and Hatch-Slack Pathway,CONTRASTS_WITH,c13,C3 pathway undergoes photorespiration while C4 pathway eliminates photorespiratory loss
BIO-C13-04,Why Leaves Are Green: Chlorophyll and Chloroplasts,BIO-C13-01,Non-cyclic Photophosphorylation,PART_OF,c13,Chlorophyll molecules in thylakoids form the antenna and reaction centers
BIO-C14-01,EMP Pathway Reactions and ATP Yield,BIO-C14-02,Krebs TCA Cycle and Mitochondrial ETS,PRECEDES,c14,Glycolysis produces 2 pyruvate molecules which enter matrix for Krebs cycle
BIO-C14-02,Krebs TCA Cycle and Mitochondrial ETS,BIO-C08-01,Mitochondria and ATP Synthesis,PART_OF,c08,Krebs enzymes operate in matrix while ETS complexes are on inner cristae membrane
BIO-C15-01,Plant Growth Regulators (Auxin Gibberellin Cytokinin),BIO-C05-01,Root Stem and Leaf Morphology,CAUSES,c05,Auxin induces apical dominance and root initiation in plant tissues
BIO-C18-01,Cardiac Cycle and Conducting System,BIO-C18-05,Why Arteries Have Thick Walls and Veins Have Valves,RESULTS_IN,c18,High ventricular pressure demands thick elastic arterial walls
