session_id,timestamp,student_id,query_text,matched_concept_id,similarity_score,current_step,mastery_score,feedback_status
demo-init,2026-09-02T10:00:00Z,student_demo,Explain photosynthesis light reaction,BIO-C13-01,0.892,4,0.720,understood
demo-init,2026-09-02T10:05:00Z,student_demo,What is DNA replication semi conservative,BIO-C28-01,0.915,4,0.810,understood
demo-init,2026-09-02T10:10:00Z,student_demo,How does lac operon repressor work,BIO-C28-02,0.865,3,0.640,in_progress
sess-9ef05dfe,2026-09-02T16:34:14.984651+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.3603,1,0.270,initialized
sess-9ef05dfe,2026-09-02T16:34:14.985199+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.3603,1,0.270,viewed_step_1
sess-9ef05dfe,2026-09-02T16:34:14.985446+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.3603,2,0.270,viewed_step_2
sess-9ef05dfe,2026-09-02T16:34:14.985609+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.3603,3,0.270,viewed_step_3
sess-9ef05dfe,2026-09-02T16:34:14.985780+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.3603,4,0.270,viewed_step_4
sess-9ef05dfe,2026-09-02T16:34:14.985952+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.3603,4,0.635,quiz_correct
sess-e532904b,2026-09-02T16:34:27.608657+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.4125,1,0.309,initialized
sess-e532904b,2026-09-02T16:34:27.608982+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.4125,1,0.309,viewed_step_1
sess-e532904b,2026-09-02T16:34:27.609225+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.4125,2,0.309,viewed_step_2
sess-e532904b,2026-09-02T16:34:27.609415+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.4125,3,0.309,viewed_step_3
sess-e532904b,2026-09-02T16:34:27.609594+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.4125,4,0.309,viewed_step_4
sess-e532904b,2026-09-02T16:34:27.609783+00:00,student_local,What is lac operon regulation repressor,BIO-C28-02,0.4125,4,0.674,quiz_correct
sess-9511499e,2026-09-02T16:35:18.364083+00:00,student_local,Explain Calvin cycle steps in photosynthesis,BIO-C13-02,0.2616,1,0.196,initialized
